Q,A
장현고려체유관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 진접읍 장현로88번길 5이며, 해당 강좌는 주로 (6, 7)월에 개최하며, 가격은 110000원 입니다."
코끼리아동청소년발달센터 스페셜의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 진접읍 팔야로 265이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
론테니스존의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 진접읍 해밀예당1로 30-9이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
해밀태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 진접읍 해밀예당3로 95이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
우리동네운동박사의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 천마산로 65-3이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
유신태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 평내로 113이며, 해당 강좌는 주로 (3, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
123필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 호평로45번길 28이며, 해당 강좌는 주로 (1, 7)월에 개최하며, 가격은 110000원 입니다."
마스터태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 화도읍 경춘로창벌2길 34-24이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
알로카요가의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 남양주시 화도읍 비룡로 58이며, 해당 강좌는 주로 (6, 7)월에 개최하며, 가격은 110000원 입니다."
대한검도회현인관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 동두천시 중앙로 112이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
두드림탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 동두천시 중앙로 116이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
지행검도관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 동두천시 중앙로 125이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 110000원 입니다."
한양대멘토태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 동두천시 지행로 116이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 160000원 입니다."
용인대 K-TIGERS 태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 동두천시 지행로 118이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
제이지아카데미 특수체육 연구소의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기 부천시 안곡로 3이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 240000원 입니다."
제이지아카데미 특수체육 연구소의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기 부천시 안곡로 3이며, 해당 강좌는 주로 (4, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
제이지아카데미 특수체육 연구소의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기 부천시 안곡로 3이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 70000원 입니다."
제이지아카데미 특수체육 연구소의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기 부천시 안곡로 3이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 80000원 입니다."
나래아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 경인로 505이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
주식회사 그리고컴퍼니(지점) 올바로필라테스 역곡점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 경인로 517이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
조용운탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 경인로 519이며, 해당 강좌는 주로 (4, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
유 휘트니스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 경인로 573이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 100000원 입니다."
더원 행동재활센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 길주로 273이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
더원 행동재활센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 길주로 273이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
더원 행동재활센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 길주로 273이며, 해당 강좌는 주로 (5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
청명아동운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 길주로 279이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
성연재활센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 길주로77번길 19-27이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 120000원 입니다."
와이엠프로샵의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 부일로 223이며, 해당 강좌는 주로 (1, 6, 7, 9)월에 개최하며, 가격은 110000원 입니다."
취미는운동의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 부일로 341이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
박재현재활운동센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 부일로 453이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 130000원 입니다."
피노키오복싱의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 부일로449번길 7이며, 해당 강좌는 주로 (1, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
조아빌샵&빌리아드클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 삼작로 266이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 110000원 입니다."
오늘핏의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 상동로 105이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
그린나래장애아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 상동로 90이며, 해당 강좌는 주로 (4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
부천도시공사 오정레포츠센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 상오정로 169이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 22500원 입니다."
부천도시공사 부천체육관 스포츠센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 석천로 293이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 26000원 입니다."
용인대 BEST 태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 성주로 120이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
연세대꿈나무태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 성주로200번길 19이며, 해당 강좌는 주로 (1, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
자라나다 아동청소년 심리언어발달센터 부천옥길점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 소사구 범안로 231-15이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
더좋은gym&필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 소사구 소사로 202이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
해밀아동발달센터2호점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 소사구 옥길로 111이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
티율태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 소사로102번길 59이며, 해당 강좌는 주로 (5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
즐거운 태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 소안로 20이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 110000원 입니다."
어울림장애인체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 수도로 40이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 110000원 입니다."
소아청소년뇌발달연구소의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 신흥로 85이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 220000원 입니다."
세븐짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 양지로92번길 9-3이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 99000원 입니다."
예전태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 오정구 고리울로 92이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
경희대한결태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 오정구 고리울로52번길 29이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
쌍호태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 오정구 역곡로482번길 51이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
안녕휘트니스오정점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 오정구 오정로 226-1이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
행복한동행 삼성태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 오정구 오정로252번길 16이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
윤호탁구교실의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 옥산로138번길 30이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
투나볼링의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 원미구 부일로 223이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
신흥체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 원미구 옥산로138번길 30이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
상2동 주민자치회의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 원미구 조마루로 95이며, 해당 강좌는 주로 (5, 7)월에 개최하며, 가격은 13000원 입니다."
도담다담아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 원미구 중동로248번길 86이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
비엔알(B&R)휘트니스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 조마루로 387이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
주식회사 렛츠의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 중동로254번길 78이며, 해당 강좌는 주로 (1, 2, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 70000원 입니다."
주식회사 렛츠의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 중동로254번길 78이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
주식회사 렛츠의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 중동로254번길 78이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 120000원 입니다."
주식회사 렛츠의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 경기도 부천시 중동로254번길 78이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 80000원 입니다."
